=== SUPABASE AUTH USERS ===
Auth ID: a4d7c258-90eb-4282-af32-60d0a44bc5b8 | Email: 923111234510@hunarmand.app | Phone: 923111234510
Auth ID: 9cfe6848-b08b-410e-88f4-4c42a1268ec9 | Email: 923111234509@hunarmand.app | Phone: 923111234509
Auth ID: add03cbb-c88c-477e-a943-5b4e4437fc8f | Email: juan@haazir.app | Phone: 923111234508
Auth ID: f342bb58-d946-4a7c-87bc-bcd74a02216c | Email: kashifcleaning@haazir.app | Phone: 923006666666
Auth ID: 747d203a-29f3-439e-957d-a82bfc1755ab | Email: babarcleaning@haazir.app | Phone: 923005555555
Auth ID: 97e81b87-9c1f-42b1-a897-f19891f07c0a | Email: alielectrician@haazir.app | Phone: 923004444444
Auth ID: eb07d391-34c1-4eb1-897b-6255b282d53c | Email: rizwanelectrician@haazir.app | Phone: 923003333333
Auth ID: 79fd593d-fb2f-4aae-a865-70ef151d4a92 | Email: usmanplumbing@haazir.app | Phone: 923002222222
Auth ID: a2417c1e-d0c6-4163-b0c7-afde83a6bbe9 | Email: zahidplumbing@haazir.app | Phone: 923001111111
Auth ID: 12bd359a-c4bb-4ce7-a9c8-223b4977fe28 | Email: 923111234511@haazir.app | Phone: 
Auth ID: 45f99f6c-c1d8-432a-9714-733035615394 | Email: +923157578780@haazir.app | Phone: 

=== PUBLIC.USERS ===
DB ID: eb07d391-34c1-4eb1-897b-6255b282d53c | Name: Rizwan Electrician | Phone: +923003333333 | Role: provider
DB ID: 5a0ece4f-132b-40c0-ba16-1c6820edd0d4 | Name: Araae | Phone: 923123456788 | Role: provider
DB ID: 5cdf1a2c-41f3-4322-8539-6dd0006cfb88 | Name: Ann | Phone: 923123456787 | Role: provider
DB ID: 8d13c767-fca9-4518-93e8-2a0569a9f7e0 | Name: Asjad | Phone: 923111234513 | Role: provider
DB ID: 02c4eb0e-52e4-4a7e-829c-136af7e431a9 | Name: Munni | Phone: 923111234514 | Role: provider
DB ID: 15e7a80a-eb39-404a-b641-28f0728452ad | Name: Maira | Phone: not provided | Role: provider
DB ID: 7924646f-396d-49d5-b47d-cf41c8fb188d | Name: Maira | Phone: 923111234515 | Role: provider
DB ID: a833240c-437b-426a-9be9-086019a74388 | Name: Asjad | Phone: 923111234517 | Role: provider
DB ID: 7ea55e98-031e-4b81-bdb6-9bfb4a286104 | Name: Asjad | Phone: 923111234516 | Role: provider
DB ID: 1c542098-6fc4-4552-b0c1-a87319055c4d | Name: Maira | Phone: unknown | Role: provider
DB ID: 02748679-c9de-4d67-acd0-c1e3021a5562 | Name: Ali Plumber | Phone: 923129988111 | Role: provider
DB ID: ea3e1fe2-e97d-4bda-ab9f-d0d7e003dc2a | Name: Ali Hassan | Phone: +92 311 1234501 | Role: provider
DB ID: 04f7ef01-e061-4fdc-905a-835bd5770b9a | Name: Usman Butt | Phone: +92 311 1234502 | Role: provider
DB ID: 83e30636-640f-4ed7-921a-12d21f344de0 | Name: Rizwan Ahmed | Phone: +92 311 1234503 | Role: provider
DB ID: 39e93c6e-7502-47aa-aee4-1faa28858105 | Name: Babar Khan | Phone: +92 311 1234504 | Role: provider
DB ID: 3643a142-527b-48dd-8f83-8cfea2c4c225 | Name: Tariq Mehmood | Phone: +92 311 1234505 | Role: provider
DB ID: c99fe8e5-6bce-49f3-b359-4fa73c7759d2 | Name: Zahid Mehmood | Phone: +92 311 1234506 | Role: provider
DB ID: c21f0e17-5559-49b9-95ba-1a070aeaf1d8 | Name: Kashif Anwar | Phone: +92 311 1234507 | Role: provider
DB ID: 3fee8de3-c198-4956-b1c5-f3871b729130 | Name: Muhammad Irfan | Phone: +92 311 1234508 | Role: provider
DB ID: a2417c1e-d0c6-4163-b0c7-afde83a6bbe9 | Name: Zahid Plumbing | Phone: +923001111111 | Role: provider
DB ID: 79fd593d-fb2f-4aae-a865-70ef151d4a92 | Name: Usman Plumbing | Phone: +923002222222 | Role: provider

=== PUBLIC.CONSUMER_PROFILES ===
Profile User ID: 9bf8cfbf-ee00-49e8-84a1-7d7df2a6db78 | Loyalty: none | Completed: 0
